starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	96	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	96	20
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	20
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	20
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	70	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
