starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:55:28 2020	1599125128	22	33	55	21
Thu Sep 03 14:55:28 2020	1599125128	23	32	55	20
Thu Sep 03 14:55:27 2020	1599125127	28	27	55	18
Thu Sep 03 14:55:29 2020	1599125129	37	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	37	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:27 2020	1599125127	27	28	55	16
Thu Sep 03 14:55:27 2020	1599125127	28	26	55	18
Thu Sep 03 14:55:27 2020	1599125127	24	31	55	15
Thu Sep 03 14:55:27 2020	1599125127	27	28	55	16
Thu Sep 03 14:55:29 2020	1599125129	37	18	55	11
Thu Sep 03 14:55:27 2020	1599125127	24	31	55	15
Thu Sep 03 14:55:27 2020	1599125127	26	29	55	16
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	37	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:27 2020	1599125127	19	36	55	22
Thu Sep 03 14:55:27 2020	1599125127	27	28	55	16
Thu Sep 03 14:55:27 2020	1599125127	28	27	55	18
Thu Sep 03 14:55:28 2020	1599125128	21	34	55	21
Thu Sep 03 14:55:29 2020	1599125129	37	18	55	11
Thu Sep 03 14:55:28 2020	1599125128	24	31	55	21
Thu Sep 03 14:55:29 2020	1599125129	37	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:27 2020	1599125127	21	34	55	18
Thu Sep 03 14:55:27 2020	1599125127	24	31	55	15
Thu Sep 03 14:55:27 2020	1599125127	21	34	55	18
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:27 2020	1599125127	26	29	55	16
Thu Sep 03 14:55:28 2020	1599125128	22	32	55	21
Thu Sep 03 14:55:29 2020	1599125129	37	18	55	11
Thu Sep 03 14:55:27 2020	1599125127	24	31	55	15
Thu Sep 03 14:55:29 2020	1599125129	37	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:27 2020	1599125127	27	28	55	16
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:28 2020	1599125128	21	34	55	21
Thu Sep 03 14:55:27 2020	1599125127	28	27	55	18
Thu Sep 03 14:55:27 2020	1599125127	19	36	55	22
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:27 2020	1599125127	24	31	55	15
Thu Sep 03 14:55:28 2020	1599125128	22	32	55	21
