starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	30
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	31
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	31
Thu Sep 03 14:56:01 2020	1599125161	7	35	42	30
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	30
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	30
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	31
Thu Sep 03 14:56:01 2020	1599125161	7	35	42	29
Thu Sep 03 14:56:01 2020	1599125161	7	35	42	30
Thu Sep 03 14:56:01 2020	1599125161	7	35	42	30
Thu Sep 03 14:56:01 2020	1599125161	7	35	42	29
Thu Sep 03 14:56:01 2020	1599125161	7	35	42	30
Thu Sep 03 14:56:01 2020	1599125161	7	35	42	30
Thu Sep 03 14:56:03 2020	1599125163	17	28	45	22
Thu Sep 03 14:56:03 2020	1599125163	17	28	45	22
Thu Sep 03 14:56:03 2020	1599125163	17	28	45	22
Thu Sep 03 14:56:03 2020	1599125163	17	28	45	22
Thu Sep 03 14:56:03 2020	1599125163	17	28	45	22
Thu Sep 03 14:56:03 2020	1599125163	17	28	45	22
Thu Sep 03 14:56:03 2020	1599125163	17	28	45	22
Thu Sep 03 14:56:03 2020	1599125163	17	28	45	22
Thu Sep 03 14:56:03 2020	1599125163	16	28	45	22
Thu Sep 03 14:56:03 2020	1599125163	16	28	45	22
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	22
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	22
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	23
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	23
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	23
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	23
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	23
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	23
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	23
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	23
Thu Sep 03 14:56:03 2020	1599125163	16	29	45	23
Thu Sep 03 14:56:03 2020	1599125163	16	30	45	23
Thu Sep 03 14:56:03 2020	1599125163	16	30	45	23
Thu Sep 03 14:56:03 2020	1599125163	15	30	45	23
Thu Sep 03 14:56:03 2020	1599125163	15	30	45	23
Thu Sep 03 14:56:03 2020	1599125163	15	30	45	23
Thu Sep 03 14:56:03 2020	1599125163	15	30	45	24
Thu Sep 03 14:56:03 2020	1599125163	15	30	45	24
Thu Sep 03 14:56:03 2020	1599125163	15	30	45	24
Thu Sep 03 14:56:03 2020	1599125163	15	30	45	24
Thu Sep 03 14:56:03 2020	1599125163	15	30	45	24
Thu Sep 03 14:56:03 2020	1599125163	15	30	45	24
Thu Sep 03 14:56:03 2020	1599125163	15	30	45	24
